user_id,timestamp,page,action,product_id,product_category,session_id,ip_address,user_agent,duration_seconds,referrer,location,device_type,purchase_amount
user_092,2024-01-24 23:34:30,products,logout,,,session_2163,192.168.47.105,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",255,direct,DE,desktop,
user_481,2024-01-15 06:00:50,search,purchase,,,session_2164,192.168.57.155,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",364,facebook,US,desktop,
user_475,2024-01-01 19:15:22,products,click,laptop_macbook_pro,phones,session_5916,192.168.255.14,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",387,instagram,UK,desktop,
user_455,2024-02-01 10:53:09,checkout,login,logitech_mx_keys,electronics,session_3621,192.168.234.255,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,22,instagram,FR,desktop,
user_114,2024-01-03 19:34:36,cart,remove_from_cart,samsung_tv_55,computers,session_1905,192.168.137.113,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,281,email,UK,tablet,
user_017,2024-03-06 03:38:24,home,search,apple_watch,accessories,session_2607,192.168.71.179,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,573,google,JP,mobile,
user_136,2024-02-02 13:43:37,checkout,click,kindle_paperwhite,electronics,session_3564,192.168.205.64,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",43,google,CA,desktop,
user_411,2024-01-07 12:04:04,payment,click,samsung_tv_55,phones,session_1487,192.168.182.165,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,404,facebook,UK,tablet,
user_111,2024-02-09 01:24:00,login,view,,,session_7820,192.168.43.151,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",255,affiliate,JP,desktop,
user_180,2024-01-05 23:43:16,login,purchase,,,session_5091,192.168.97.90,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",400,google,FR,tablet,
user_249,2024-02-14 18:27:54,cart,view,logitech_mx_keys,accessories,session_5203,192.168.224.72,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",126,facebook,JP,tablet,
user_093,2024-01-21 19:09:06,product_detail,logout,,,session_7812,192.168.170.71,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",29,direct,CA,desktop,
user_359,2024-02-09 19:54:40,home,login,laptop_dell_xps,tablets,session_9993,192.168.28.54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",31,affiliate,BR,desktop,
user_420,2024-01-16 05:17:00,checkout,click,samsung_tv_55,audio,session_8891,192.168.152.141,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,275,google,BR,mobile,
user_473,2024-02-13 21:13:10,cart,view,xbox_series_x,phones,session_8188,192.168.200.133,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,379,twitter,JP,tablet,
user_156,2024-02-06 15:54:00,search,click,airpods_pro,computers,session_3637,192.168.2.200,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,357,instagram,JP,desktop,
user_248,2024-02-06 13:28:12,checkout,remove_from_cart,,,session_7832,192.168.215.51,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,340,instagram,UK,mobile,
user_097,2024-01-14 07:27:18,products,add_to_cart,,,session_1034,192.168.220.22,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0,395,facebook,CA,mobile,
user_413,2024-01-09 02:38:43,home,purchase,ipad_pro,computers,session_6923,192.168.222.210,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",480,twitter,JP,desktop,
user_487,2024-01-08 18:14:06,confirmation,purchase,,,session_9063,192.168.36.104,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",453,facebook,AU,mobile,1084.18
user_323,2024-02-06 08:41:48,login,view,ipad_pro,electronics,session_4072,192.168.183.33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",238,direct,AU,mobile,
user_482,2024-01-16 08:59:00,cart,add_to_cart,logitech_mx_keys,computers,session_4408,192.168.172.51,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1",462,twitter,UK,desktop,
user_091,2024-02-03 07:26:38,login,search,playstation_5,computers,session_6134,192.168.90.12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",23,google,DE,desktop,
user_379,2024-01-05 22:26:24,category,click,,,session_9729,192.168.215.249,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",504,email,CA,desktop,
user_097,2024-01-24 08:50:24,cart,remove_from_cart,,,session_6882,192.168.75.232,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",167,twitter,AU,tablet,
user_320,2024-01-21 07:03:36,products,view,,,session_1744,192.168.156.191,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",135,instagram,AU,tablet,
user_435,2024-02-26 16:19:12,payment,click,iphone_14_pro,accessories,session_3005,192.168.225.83,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",562,twitter,BR,tablet,
